Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,11.80836009979248,0.36,9.48,-3.12,0.08,0.16,0.1,Annotated
M5-IMU-Janice,11.92780089378357,0.55,8.97,-1.64,-0.02,-0.14,0.11,Annotated
M5-IMU-Janice,12.049339771270752,1.71,9.79,-2.66,0.09,0.45,0.02,Annotated
M5-IMU-Janice,12.108709812164307,1.76,9.67,-2.86,-0.19,0.25,-0.34,Annotated
M5-IMU-Janice,12.229036331176758,0.75,9.39,-1.77,-0.28,-0.41,-0.34,Annotated
M5-IMU-Janice,12.348905563354492,-0.41,9.03,-2.04,-0.19,-0.16,-0.36,Annotated
M5-IMU-Janice,12.408977746963501,-0.47,9.3,-2.04,-0.13,0.34,-0.17,Annotated
M5-IMU-Janice,12.528871059417725,-1.16,9.38,-1.77,-0.11,0.27,0.12,Annotated
M5-IMU-Janice,12.649011611938477,0.11,9.69,-1.38,0.02,-0.21,0.77,Annotated
M5-IMU-Janice,12.708579778671265,-3.26,16.57,-1.99,0.58,0.58,1.43,Annotated
M5-IMU-Janice,12.829502582550049,-19.61,0.8,6.87,-2.75,-4.37,-1.27,Unmarked
M5-IMU-Janice,12.949334383010864,19.46,-0.98,-19.61,-2.11,-4.37,1.97,Unmarked
M5-IMU-Janice,13.009455919265747,3.81,3.82,1.37,0.7,2.01,0.03,Unmarked
M5-IMU-Janice,13.130297422409058,0.74,9.46,0.34,0.5,-0.12,0.1,Unmarked
M5-IMU-Janice,13.250498294830322,0.17,10.27,-0.5,0.03,0.93,0.11,Unmarked
M5-IMU-Janice,13.308751344680786,0.88,10.09,3.16,-0.76,-1.47,0.87,Unmarked
M5-IMU-Janice,13.43019986152649,-1.41,12.39,-1.34,-0.71,-0.0,1.53,Unmarked
M5-IMU-Janice,13.550788402557373,-6.63,12.9,-2.54,-0.76,-2.33,3.13,Unmarked
M5-IMU-Janice,13.60988473892212,-5.06,3.51,-1.79,0.95,-4.37,-0.55,Unmarked
M5-IMU-Janice,13.730512142181396,-3.34,9.96,-2.3,0.71,-4.15,-4.19,Unmarked
M5-IMU-Janice,13.849298238754272,19.46,9.29,-11.39,0.18,0.28,0.91,Unmarked
M5-IMU-Janice,13.909460067749023,2.89,6.34,1.21,0.96,3.78,-0.1,Unmarked
M5-IMU-Janice,14.02824854850769,-2.9,9.55,-1.7,-0.07,0.06,0.27,Unmarked
M5-IMU-Janice,14.147849082946777,-1.58,9.9,-2.96,0.25,0.58,0.1,Unmarked
M5-IMU-Janice,14.209545850753784,-1.56,10.68,-2.02,0.05,0.27,1.32,Unmarked
M5-IMU-Janice,14.33034348487854,-19.61,-5.06,4.28,1.23,-2.29,-0.64,Unmarked
M5-IMU-Janice,14.450096368789673,12.27,0.85,-4.27,0.77,2.73,-0.55,Unmarked
M5-IMU-Janice,14.509528636932373,-0.34,9.99,-1.35,-0.49,3.22,0.31,Unmarked
M5-IMU-Janice,14.629558563232422,-1.8,9.45,-0.74,-0.07,-0.14,0.33,Annotated
M5-IMU-Janice,14.750499963760376,-0.77,12.78,1.16,0.29,-0.35,0.86,Annotated
M5-IMU-Janice,14.809346675872803,-2.75,11.03,-1.14,0.33,-1.33,1.63,Annotated
M5-IMU-Janice,14.928936958312988,-3.19,5.56,3.47,-0.71,-0.64,-2.88,Annotated
M5-IMU-Janice,15.049263954162598,18.96,12.92,-12.03,-0.63,-1.12,-0.73,Annotated
M5-IMU-Janice,15.108045101165771,7.93,7.76,-3.82,0.67,3.63,0.38,Annotated
M5-IMU-Janice,15.228712797164917,3.43,8.51,-2.45,-0.04,-2.45,0.64,Annotated
M5-IMU-Janice,15.348762512207031,4.27,10.26,-1.81,0.26,0.44,1.83,Annotated
M5-IMU-Janice,15.408730030059814,-10.56,11.96,1.25,-0.41,0.54,-0.62,Annotated
M5-IMU-Janice,15.528727531433105,1.14,9.65,1.17,-0.54,1.73,0.5,Annotated
M5-IMU-Janice,15.648582220077515,-2.04,10.36,-1.87,0.61,0.36,0.62,Annotated
M5-IMU-Janice,15.708928346633911,-7.21,12.33,-1.43,0.29,1.31,1.07,Annotated
M5-IMU-Janice,15.828260898590088,-2.93,9.22,1.1,-0.09,-0.77,-2.05,Annotated
M5-IMU-Janice,15.948922395706177,10.94,8.47,-2.75,-1.37,-0.71,-1.87,Annotated
M5-IMU-Janice,16.009281635284424,3.49,9.95,-7.19,0.55,3.23,-2.52,Annotated
M5-IMU-Janice,16.129165172576904,10.6,15.45,-2.77,1.23,-2.78,-0.55,Annotated
M5-IMU-Janice,16.306876182556152,2.94,10.46,-1.6,0.03,-0.49,1.38,Annotated
M5-IMU-Janice,16.30852484703064,-0.42,10.67,-0.52,0.32,0.46,1.76,Annotated
M5-IMU-Janice,16.429011344909668,-3.74,12.44,-1.67,0.24,2.11,1.09,Annotated
M5-IMU-Janice,16.54884672164917,-11.57,8.58,1.13,-0.15,0.44,-0.66,Annotated
M5-IMU-Janice,16.608853578567505,1.58,11.06,0.0,-0.55,-2.22,0.7,Annotated
M5-IMU-Janice,16.729013442993164,0.22,12.54,-1.03,0.38,-2.11,2.25,Annotated
M5-IMU-Janice,16.849820852279663,-1.87,8.27,0.13,-0.26,-1.04,-1.13,Annotated
M5-IMU-Janice,16.908385038375854,2.66,8.06,-1.67,-1.01,-1.93,-2.9,Annotated
M5-IMU-Janice,17.0291805267334,11.43,9.08,-3.84,-1.11,0.58,-1.81,Annotated
M5-IMU-Janice,17.148706197738647,0.51,19.46,7.49,0.9,4.33,-2.29,Annotated
M5-IMU-Janice,17.20806312561035,-2.92,7.18,1.34,2.7,-1.63,0.3,Annotated
M5-IMU-Janice,17.328377962112427,1.71,9.69,0.17,0.56,0.04,0.97,Annotated
M5-IMU-Janice,17.447981119155884,5.11,10.01,-3.55,0.55,2.21,1.08,Annotated
M5-IMU-Janice,17.508903741836548,-14.74,7.1,2.77,-0.66,-0.39,0.31,Annotated
M5-IMU-Janice,17.629164695739746,-2.38,11.9,-3.54,1.37,-4.37,0.2,Annotated
M5-IMU-Janice,17.74929904937744,3.24,9.74,0.14,0.0,0.18,0.45,Annotated
M5-IMU-Janice,17.80892324447632,0.57,10.18,0.15,0.0,0.05,-0.05,Annotated
M5-IMU-Janice,17.987526893615723,1.74,11.3,1.72,0.06,0.66,0.38,Annotated
M5-IMU-Janice,18.049063682556152,7.08,15.03,-5.24,-0.41,-3.31,3.01,Annotated
M5-IMU-Janice,18.107531785964966,-7.9,7.97,-2.86,-0.72,3.2,0.53,Annotated
M5-IMU-Janice,18.22842049598694,-5.27,5.95,2.14,-0.27,0.1,-3.63,Annotated
M5-IMU-Janice,18.348762035369873,16.26,15.96,-3.94,-1.15,-1.12,-3.09,Annotated
M5-IMU-Janice,18.40809941291809,-1.95,10.88,0.79,0.99,2.61,-1.48,Annotated
M5-IMU-Janice,18.52859091758728,4.93,6.73,0.19,1.84,3.01,0.27,Annotated
M5-IMU-Janice,18.649396419525146,-0.62,10.05,-1.11,0.22,0.67,1.06,Annotated
M5-IMU-Janice,18.70838975906372,0.27,10.06,-0.7,0.24,0.53,1.01,Annotated
M5-IMU-Janice,18.82782816886902,-10.64,9.75,1.28,0.19,0.58,-0.13,Annotated
M5-IMU-Janice,18.948402404785156,-1.41,8.16,1.96,1.31,1.35,0.11,Annotated
M5-IMU-Janice,19.009217262268066,-0.06,8.55,0.11,-0.29,-0.84,-0.13,Annotated
M5-IMU-Janice,19.12813377380371,2.35,9.91,-0.78,-0.02,-0.37,0.08,Annotated
M5-IMU-Janice,19.248903036117554,1.09,9.26,-0.89,0.24,0.04,0.12,Annotated
M5-IMU-Janice,19.30786967277527,1.31,9.52,0.75,0.01,-0.14,0.24,Annotated
M5-IMU-Janice,19.429513931274414,2.53,9.56,-1.82,0.59,-2.06,1.11,Unmarked
M5-IMU-Janice,19.549716472625732,-0.06,8.22,0.35,-0.3,-2.96,0.21,Unmarked
M5-IMU-Janice,19.668004512786865,0.29,10.3,-5.17,-0.02,-0.41,-0.79,Unmarked
M5-IMU-Janice,19.728978157043457,1.24,8.87,-1.66,-0.17,0.41,-0.65,Unmarked
M5-IMU-Janice,19.850613117218018,-1.19,8.71,-2.26,-0.1,-1.78,-0.31,Unmarked
M5-IMU-Janice,19.90873908996582,0.69,9.63,-2.55,-0.26,-1.03,0.2,Unmarked
M5-IMU-Janice,20.028766870498657,0.72,9.79,-1.76,-0.57,-0.82,0.24,Unmarked
M5-IMU-Janice,20.150312185287476,1.06,10.43,-1.31,-0.99,0.21,0.48,Unmarked
M5-IMU-Janice,20.210489511489868,0.06,15.28,-3.43,-0.88,-2.64,1.28,Unmarked
