Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Label
22.91244483,1.21,9.56,0.1,-0.03,-0.02,0,Stand
23.01688385,1.24,9.53,0.15,-0.03,-0.01,0,Stand
23.12219906,1.19,9.54,0.18,-0.03,-0.02,0.01,Stand
23.22785211,1.23,9.57,0.12,-0.02,-0.01,0,Stand
23.33297396,1.23,9.59,0.17,-0.03,-0.01,0,Stand
23.43801594,1.25,9.59,0.14,-0.02,-0.02,0,Stand
23.54320312,1.24,9.62,0.16,-0.03,-0.02,0.01,Stand
23.64695597,1.21,9.53,0.2,-0.02,-0.02,0,Stand
23.75225592,1.18,9.53,0.15,-0.02,-0.02,0,Stand
23.85707688,1.32,9.67,0.21,-0.02,-0.03,0,Stand
23.96204805,1.18,9.56,0.19,-0.02,-0.03,0,Stand
24.06674099,1.22,9.62,0.19,-0.03,-0.03,-0.01,Stand
24.1724,1.13,9.54,0.24,-0.03,-0.02,0,Stand
24.27697611,1.21,9.59,0.23,-0.03,-0.01,0,Stand
24.38207197,1.1,9.56,0.22,-0.03,-0.02,0.01,Stand
24.48641992,1.15,9.57,0.23,-0.02,-0.03,0.01,Stand
24.59204602,1.19,9.59,0.25,-0.01,-0.02,0.02,Stand
24.69728613,1.13,9.54,0.24,-0.01,-0.02,0.02,Stand
24.80204797,1.18,9.57,0.21,-0.02,-0.02,0.01,Stand
24.90693712,1.21,9.62,0.11,-0.02,-0.03,0.02,Stand
25.01220512,1.19,9.6,0.16,-0.02,-0.02,0.02,Stand
25.11713719,1.27,9.59,0.18,-0.01,0.01,0.01,Stand
25.22216225,1.15,9.56,0.18,-0.04,0.04,0.02,Stand
25.32699013,1.25,9.6,0.23,-0.08,0.03,0.02,Stand
25.43193483,1.38,9.65,0.31,-0.07,0.03,-0.02,Stand
25.53719902,1.11,9.51,0.38,-0.08,0.01,-0.02,Stand
25.64280915,1.1,9.54,0.47,-0.07,0,-0.04,Stand
25.74732995,1.04,9.56,0.47,-0.04,-0.02,-0.02,Stand
25.85260201,1.19,9.57,0.51,-0.04,-0.02,-0.02,Stand
25.95810509,0.99,9.59,0.5,-0.04,-0.02,-0.04,Stand
26.06192708,0.85,9.54,0.51,-0.01,-0.02,-0.05,Stand
26.16805911,0.94,9.54,0.57,-0.01,-0.04,-0.03,Stand
26.2728231,0.9,9.59,0.54,0.02,-0.07,-0.03,Stand
26.37707114,0.97,9.66,0.45,0.03,-0.09,-0.03,Stand
26.48243308,0.75,9.57,0.33,0.04,-0.09,-0.02,Stand
26.58782792,0.79,9.55,0.38,0.03,-0.08,-0.03,Stand
26.6917901,0.78,9.62,0.19,0.04,-0.09,-0.01,Stand
26.79701805,0.82,9.6,0.27,0.03,-0.07,0,Stand
26.90215898,0.59,9.57,0.12,0.03,-0.06,0.01,Stand
27.00694609,0.82,9.6,0.1,0.01,-0.04,0.02,Stand
27.11201191,0.79,9.64,0.07,0.01,-0.06,0,Stand
27.23282504,0.75,9.62,0.03,0.01,-0.06,-0.02,Stand
27.32263303,0.76,9.67,0,0.02,-0.07,-0.02,Stand
27.42715406,0.78,9.63,-0.09,0.02,-0.08,0.01,Stand
27.53207111,0.76,9.64,-0.06,0,-0.06,0.01,Stand
27.63705492,0.66,9.61,-0.09,0.01,-0.06,-0.02,Stand
27.74209619,0.69,9.6,-0.09,0.01,-0.06,0,Stand
27.84695005,0.67,9.63,-0.12,0.02,-0.05,0,Stand
27.95283294,0.74,9.66,-0.19,0,-0.04,0.01,Stand
28.05759788,0.73,9.68,-0.27,0,-0.03,0.01,Stand
28.16292405,0.63,9.63,-0.23,0,-0.03,-0.03,Stand
28.26781321,0.63,9.64,-0.25,-0.02,-0.03,-0.02,Stand
28.3725791,0.7,9.62,-0.22,-0.02,-0.04,-0.03,Stand
28.47727108,0.51,9.62,-0.26,-0.02,-0.06,-0.03,Stand
28.58231711,0.54,9.65,-0.25,0,-0.06,-0.02,Stand
28.68738699,0.49,9.64,-0.25,-0.01,-0.07,0.01,Stand
28.79289603,0.37,9.58,-0.31,-0.01,-0.06,0.03,Stand
28.89696622,0.64,9.65,-0.26,0,-0.06,0.04,Stand
29.00258517,0.57,9.62,-0.33,-0.01,-0.05,0.04,Stand
29.10809708,0.55,9.59,-0.3,-0.01,-0.04,0.04,Stand
29.21246886,0.8,9.69,-0.3,-0.01,-0.05,0.03,Stand
29.3171699,0.63,9.61,-0.36,0.01,-0.07,0.01,Stand
29.42138791,0.74,9.62,-0.31,0.03,-0.11,0.02,Stand
29.52654409,0.68,9.66,-0.49,0.03,-0.11,0.05,Stand
29.63108206,0.64,9.62,-0.46,0.02,-0.07,0.04,Stand
