Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
7.153271913528442,-6.07,-1.13,-7.82,-0.04,0.01,0.02
7.215221405029297,-6.03,-0.95,-7.83,0.05,-0.05,-0.01
7.331613302230835,-6.2,-1.2,-7.78,0.03,-0.05,0.0
7.448323726654053,-6.13,-1.34,-7.65,-0.01,-0.01,0.02
7.575087070465088,-6.13,-1.44,-7.68,0.01,0.01,0.01
7.636081695556641,-6.11,-0.98,-7.83,-0.04,0.09,0.04
7.750959157943726,-5.86,-0.75,-8.02,0.03,0.01,0.04
7.867725372314453,-6.02,-1.02,-7.91,0.08,-0.03,-0.0
7.989261627197266,-6.03,-1.38,-7.71,-0.01,-0.05,0.01
8.107917308807373,-6.16,-1.27,-7.73,0.03,-0.01,0.01
8.17024540901184,-5.92,-1.4,-7.87,0.0,0.02,0.02
8.291844129562378,-6.04,-1.02,-7.83,-0.01,0.01,0.03
8.415635347366333,-6.1,-0.84,-7.92,0.02,0.02,0.01
8.528976678848267,-5.95,-0.84,-7.98,-0.03,0.06,0.02
8.596245765686035,-5.74,-0.76,-8.27,-0.43,0.24,0.14
8.714491128921509,-4.9,-1.88,-11.88,-1.07,4.11,1.52
8.828717947006226,-3.4,0.97,-9.41,-0.83,1.3,0.4
8.946449995040894,-2.77,1.48,-9.59,-0.55,0.78,0.41
9.015600204467773,-2.58,1.93,-9.1,-0.4,0.4,0.49
9.135943412780762,-2.04,1.96,-9.16,-0.21,-0.04,0.23
9.246530294418335,-1.08,1.72,-8.98,-0.1,0.57,0.15
9.37542724609375,-1.35,1.58,-4.4,0.47,-1.07,-0.27
9.490070343017578,-4.46,1.5,-10.75,1.9,-1.34,-0.7
9.555477142333984,-5.38,1.66,-12.9,0.31,0.64,-0.09
9.675998449325562,-4.96,0.5,-8.81,-1.04,1.46,0.24
9.796330451965332,-2.62,0.74,-8.12,-0.41,0.17,0.2
9.913482666015625,-2.47,0.02,-8.05,0.61,-0.79,0.08
9.976151943206787,-0.33,0.91,-9.87,0.32,-0.19,0.9
10.096229076385498,0.16,4.33,-3.52,-0.18,-1.55,2.14
10.216269254684448,-4.63,7.58,-5.15,-2.82,2.24,0.51
10.329375505447388,-2.36,8.88,-7.01,-2.89,1.07,-0.86
10.396568059921265,-4.47,10.82,-8.85,-2.17,0.27,-1.72
10.5139799118042,0.43,12.58,-6.31,-1.78,1.17,-1.75
10.690228462219238,0.23,10.6,-5.66,-0.69,0.65,0.11
10.755947828292847,4.02,8.85,-3.65,1.09,1.19,1.68
10.873162746429443,0.92,12.26,-4.39,1.0,1.44,2.85
10.93638277053833,0.01,12.95,-1.53,-0.16,0.6,2.31
11.048130512237549,-1.69,8.17,-1.78,-0.84,1.98,0.39
11.176520586013794,-1.53,8.0,-1.41,-0.42,0.26,-1.02
11.286703824996948,1.32,12.41,1.15,-0.69,-1.05,-1.88
11.355710983276367,0.51,12.62,1.73,-1.1,-0.12,-2.39
11.474851131439209,6.84,10.16,-1.79,-1.88,-4.07,-1.39
11.591502666473389,1.26,7.87,0.65,-0.46,-0.47,-0.7
11.715778589248657,-0.18,7.0,-0.67,0.12,0.56,-0.11
11.776597738265991,2.58,6.73,2.93,-0.42,0.2,0.37
11.88787579536438,-2.98,8.92,2.36,0.25,-0.44,0.08
12.00789475440979,-3.37,8.77,1.75,-0.11,-0.04,-0.14
12.134509801864624,-4.15,7.74,1.99,-0.11,0.05,-0.06
12.248687267303467,-3.63,9.02,1.69,0.02,-0.23,0.07
12.312882661819458,-4.01,8.14,1.84,0.02,-0.28,0.03
12.4356107711792,-2.93,9.88,2.26,-0.03,0.06,0.05
12.548620700836182,-3.77,7.46,2.82,-0.54,0.2,0.05
12.67584228515625,-2.84,8.72,2.22,-0.07,0.49,-0.23
12.736182689666748,-4.65,8.21,1.19,0.09,-0.03,-0.03
12.85095477104187,-1.99,9.04,3.08,-0.18,-1.19,0.01
12.969412088394165,-3.45,8.59,2.16,-0.5,0.91,0.3
13.092573642730713,-3.71,8.57,2.47,0.16,-0.73,0.02
13.156620740890503,-2.97,8.51,2.72,-0.09,-0.05,0.07
13.271608352661133,-3.38,8.82,2.52,0.14,-0.1,0.08
13.395254850387573,-3.17,9.34,2.99,-0.37,0.03,-0.0
13.509129285812378,-3.33,8.39,2.96,-0.11,-0.01,0.03
13.629725217819214,-3.12,8.74,2.65,0.26,-0.19,0.03
13.695277214050293,-3.35,8.74,2.66,0.1,-0.33,0.06
13.81571364402771,-2.94,8.84,2.67,0.01,0.08,0.01
13.931959867477417,-3.04,8.91,2.45,0.01,-0.04,0.04
14.05341124534607,-2.94,8.73,2.91,-0.07,0.25,-0.53
14.115734815597534,-2.81,9.28,2.34,0.26,-0.71,0.02
14.229835748672485,3.86,4.71,-1.32,0.39,-2.89,-0.17
14.353285074234009,3.69,11.33,0.5,1.56,0.55,1.8
14.46847128868103,-2.15,13.21,-0.59,1.06,1.55,2.01
14.592655181884766,-4.43,10.81,-0.36,0.59,0.06,0.84
14.76975965499878,-3.51,9.57,0.28,0.18,-0.69,-0.16
14.76975965499878,-3.05,10.94,-0.44,-0.28,-0.46,-1.21
14.886591672897339,-2.17,10.08,-1.95,-0.33,-0.61,-1.91
15.070187330245972,1.81,10.82,-0.84,-0.27,-1.12,-1.49
15.070187330245972,3.23,8.8,-2.0,0.2,0.16,0.3
15.196176290512085,2.15,10.13,-2.31,0.46,1.04,2.09
15.374498844146729,0.11,12.12,-1.73,0.46,0.23,2.74
15.436420917510986,-0.72,11.18,-1.24,0.32,1.23,1.87
15.496296644210815,-3.59,9.9,-1.39,-0.15,-0.41,0.21
15.607424020767212,-4.81,9.96,-1.62,-0.29,0.05,-2.05
15.734742403030396,-1.52,11.49,-2.69,-0.16,-1.58,-2.9
15.85596227645874,2.7,13.65,-2.62,-0.35,-1.6,-2.33
15.9760160446167,2.19,9.28,-2.04,0.15,0.14,-0.81
16.035759925842285,2.71,7.39,-1.94,0.51,0.44,1.59
16.15083622932434,1.31,13.07,-3.17,0.56,0.75,3.31
16.267314672470093,1.73,14.43,-2.96,0.32,1.61,3.03
16.395002841949463,-0.93,10.12,-2.83,0.28,-0.08,2.04
