Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,15.353004932403564,1.19,9.51,0.14,-0.02,-0.03,-0.02,Unmarked
MPY ESP32,15.458101987838745,1.27,9.57,0.16,-0.03,-0.03,-0.01,Unmarked
MPY ESP32,15.56249213218689,1.25,9.64,0.14,-0.02,-0.03,-0.02,Unmarked
MPY ESP32,15.669013977050781,1.19,9.58,0.14,-0.03,-0.01,-0.01,Unmarked
MPY ESP32,15.77245306968689,1.14,9.59,0.08,-0.03,-0.01,-0.0,Unmarked
MPY ESP32,15.877110958099365,1.12,9.56,0.08,-0.03,-0.02,0.0,Unmarked
MPY ESP32,15.982587099075317,1.16,9.55,0.21,-0.03,-0.03,-0.0,Unmarked
MPY ESP32,16.08717107772827,1.15,9.6,0.24,-0.02,-0.03,0.01,Unmarked
MPY ESP32,16.19305396080017,1.11,9.59,0.18,-0.03,-0.02,0.01,Unmarked
MPY ESP32,16.298069953918457,1.11,9.55,0.23,-0.01,-0.02,0.02,Unmarked
MPY ESP32,16.40216588973999,1.18,9.61,0.2,-0.02,-0.02,0.01,Unmarked
MPY ESP32,16.507025003433228,1.14,9.56,0.24,-0.03,-0.03,0.0,Unmarked
MPY ESP32,16.612995147705078,1.2,9.59,0.26,-0.02,-0.04,-0.0,Unmarked
MPY ESP32,16.71790623664856,1.06,9.55,0.23,-0.01,-0.03,0.02,Unmarked
MPY ESP32,16.823506832122803,1.17,9.59,0.17,-0.0,-0.02,0.02,Unmarked
MPY ESP32,16.928160905838013,1.3,9.65,0.17,-0.01,-0.02,0.01,Unmarked
MPY ESP32,17.032458066940308,1.18,9.59,0.17,-0.03,-0.02,0.0,Unmarked
MPY ESP32,17.137912034988403,1.13,9.54,0.27,-0.02,-0.03,-0.01,Unmarked
MPY ESP32,17.241766214370728,1.14,9.51,0.26,-0.0,-0.02,0.0,Unmarked
MPY ESP32,17.34649109840393,1.18,9.6,0.17,-0.0,-0.02,0.01,Unmarked
MPY ESP32,17.452519178390503,1.17,9.56,0.19,-0.01,-0.02,0.02,Unmarked
MPY ESP32,17.557662963867188,1.15,9.64,0.09,-0.01,-0.03,0.02,Unmarked
MPY ESP32,17.66238307952881,1.17,9.56,0.13,-0.0,-0.03,0.01,Unmarked
MPY ESP32,17.7674880027771,1.15,9.57,0.1,0.0,-0.04,0.01,Unmarked
MPY ESP32,17.87229895591736,1.24,9.62,0.1,0.01,-0.04,0.01,Unmarked
MPY ESP32,17.977874040603638,1.2,9.56,0.05,0.0,-0.04,0.0,Unmarked
MPY ESP32,18.082509994506836,1.18,9.58,0.06,-0.01,-0.03,0.01,Unmarked
MPY ESP32,18.187827825546265,1.15,9.54,0.06,-0.01,-0.03,0.01,Unmarked
MPY ESP32,18.29294204711914,1.15,9.58,0.02,-0.0,-0.03,0.0,Unmarked
MPY ESP32,18.39682102203369,1.18,9.6,0.05,-0.01,-0.03,0.01,Unmarked
MPY ESP32,18.50195288658142,1.17,9.56,0.02,-0.01,-0.03,0.01,Unmarked
MPY ESP32,18.607213973999023,1.21,9.59,-0.0,0.01,-0.03,0.02,Unmarked
MPY ESP32,18.71228003501892,1.2,9.58,-0.03,-0.01,-0.02,0.02,Unmarked
MPY ESP32,18.81748914718628,1.19,9.62,-0.11,-0.01,-0.02,0.02,Unmarked
MPY ESP32,18.92210102081299,1.3,9.63,-0.1,-0.02,-0.02,0.01,Unmarked
